Id,Sales
1,6101.326085173974
2,8131.867341323374
3,10374.358324102384
4,6746.417662412933
5,7888.391536946163
6,6826.549794555542
7,9192.583139191664
8,8778.48509864986
9,6432.765624699122
10,6729.089897825777
11,7906.847934970212
12,8937.988432581134
13,7716.733805905617
14,8850.254222578704
15,6810.02164623642
16,5820.644778459239
17,6903.121800909403
18,11338.228057535536
19,13796.877926128054
20,11237.970660673294
21,8745.168727193886
22,6446.362748374055
23,7128.023503411233
24,5461.723505837909
25,9943.4438493845
26,12015.06032119641
27,10838.63368797432
28,7334.400660434672
29,6133.674732215883
30,6149.698095436439
31,6708.6915705183665
32,12347.084497487183
33,8134.209370512403
34,6833.558138057081
35,6426.18432020283
36,8247.949230633978
37,5519.521868177875
38,8858.952650419726
39,5884.741844041741
40,7971.115162887466
41,8855.296854266868
42,6559.583430305216
43,8927.734211133551
44,7563.773484487276
45,6056.28267443251
46,7681.907049329479
47,8256.642911028244
48,13056.598774863583
49,7453.8040843294775
50,9171.797927806565
51,8616.785708197132
52,11085.133051890978
53,7829.934405198755
54,10944.671846715568
55,5753.99877124098
56,6001.069410959792
57,7333.096100325827
58,7239.6969287551365
59,10440.965903954711
60,9053.063501775727
61,6766.32036957879
62,9180.223990817805
63,8237.086386709505
64,10761.276046206945
65,5582.376832916696
66,17698.345349570533
67,6012.944819608574
68,7054.125746024144
69,9742.449413764278
70,6791.692812013148
71,7298.449302317132
72,7206.204956389673
73,8464.420988652031
74,6532.700117221387
75,6402.0685935146685
76,9283.225758312483
77,8733.541303028267
78,8110.2498741083755
79,5861.330255167327
80,8454.830433652669
81,13959.750145649266
82,7620.3149122824225
83,5891.3199386149845
84,8090.728856043386
85,7350.723154445289
86,8318.114016964839
87,8724.34747133421
88,5423.340384010303
89,9248.022917147182
90,7201.378625858045
91,8438.374529753472
92,7581.859374847605
93,5842.180312163479
94,7865.4664671161945
95,6321.600610226371
96,8934.642005772756
97,10551.004241328234
98,6408.778830025035
99,6576.775593369232
100,7414.565966749707
101,7267.572731982273
102,6814.313933851058
103,9422.655076711579
104,7701.877792899802
105,8598.622412790115
106,6777.195484107761
107,5963.231539495646
108,7610.3439212168105
109,8916.427509908995
110,9327.79952256418
111,9246.792784463285
112,9599.248525204048
113,6795.542556977543
114,9932.900515417134
115,6777.211249515552
116,8395.92262101558
117,10491.138430148892
118,7986.658224860956
119,11712.276349172353
120,10034.259880121344
121,8992.510505746477
122,7022.283890231617
123,8446.529733477608
124,9409.203192333405
125,7279.547446981015
126,5454.99726085445
127,6914.387898519188
128,8845.223397763632
129,8523.023905633067
130,6334.302309472796
131,9903.107892900653
132,7933.679723263397
133,7185.362474068522
134,6960.875119348252
135,6519.306509667747
136,8406.528931230574
137,8390.622826495392
138,7429.379956859117
139,6775.490367498886
140,6004.583122062632
141,7904.537263188964
142,5335.507452386336
143,7402.787814600467
144,6432.129153360525
145,10404.143830517152
146,8363.082570034783
147,7890.651170067335
148,10843.667135799928
149,6508.168172675415
150,6315.763739550501
151,13134.27086411359
152,7966.868796605799
153,9545.455648804023
154,8917.639685330694
155,6684.137943266542
156,7435.574920470854
157,6676.365533357721
158,8341.508470014714
159,13998.364968053951
160,6856.837608568664
161,5038.440791790083
162,6214.183113608342
163,9746.024332424102
164,11436.12751997529
165,7569.375823550904
166,8353.637871742965
167,5998.702816345372
168,6108.9371492232185
169,4916.76365098399
170,6175.436288846032
171,7122.380535397861
172,8121.691425030184
173,8556.658884359766
174,7326.741296223808
175,9584.041044083624
176,10346.679599790321
177,8730.50330588422
178,6163.4694996265
179,11215.290577005651
180,14055.58920435113
181,7294.517515147815
182,8759.697272533995
183,6476.277952730878
184,7779.456702314714
185,5722.0511755490825
186,7983.296182929801
187,6583.1887318311865
188,10432.020261864907
189,8172.005813850427
190,10327.14997120818
191,9629.365688287755
192,6607.282016441964
193,10213.215358556356
194,38728.16876186023
195,13487.373481978204
196,6918.241370043551
197,4992.288367290361
198,7491.6877015018845
199,11682.422515196691
200,6856.634332655877
201,14422.91953044561
202,46900.28184184638
203,5304.954961553188
204,6330.909034095825
205,10930.579442606442
206,6183.88556714294
207,10950.387172455832
208,7465.260430786776
209,8320.884330494007
210,5378.9219965464035
211,8556.647146582623
212,7643.843080345326
213,8338.082509505275
214,10589.59747902323
215,7635.747024048987
216,7165.923787744893
217,8198.163691424996
218,6701.287571331705
219,6558.717200244433
220,9377.398088417684
221,6954.8769520161995
222,7653.055690767903
223,8288.960883071179
224,6899.097963932023
225,6495.50003293816
226,8160.6174127088025
227,8226.44983925145
228,9863.074761299242
229,7424.810803736307
230,8193.508745463447
231,6795.3559021179935
